time_s,channel,signal_uv,positive_attribution,seizure_state,sampling_rate_hz,onset_s,offset_s,status,random_seed
0.00000,Fp1,2.22102,0.007763,non-ictal,200,0.68,1.36,SIMULATED,40404
0.00500,Fp1,1.12842,0.008035,non-ictal,200,0.68,1.36,SIMULATED,40404
0.01000,Fp1,5.09115,0.008344,non-ictal,200,0.68,1.36,SIMULATED,40404
0.01500,Fp1,7.67334,0.015378,non-ictal,200,0.68,1.36,SIMULATED,40404
0.02000,Fp1,11.50841,0.011422,non-ictal,200,0.68,1.36,SIMULATED,40404
0.02500,Fp1,12.25375,0.011422,non-ictal,200,0.68,1.36,SIMULATED,40404
0.03000,Fp1,6.17255,0.011277,non-ictal,200,0.68,1.36,SIMULATED,40404
0.03500,Fp1,5.44757,0.010968,non-ictal,200,0.68,1.36,SIMULATED,40404
0.04000,Fp1,0.89241,0.003210,non-ictal,200,0.68,1.36,SIMULATED,40404
0.04500,Fp1,4.28186,0.000715,non-ictal,200,0.68,1.36,SIMULATED,40404
0.05000,Fp1,6.92436,0.003933,non-ictal,200,0.68,1.36,SIMULATED,40404
0.05500,Fp1,7.36018,0.003806,non-ictal,200,0.68,1.36,SIMULATED,40404
0.06000,Fp1,4.07697,0.007278,non-ictal,200,0.68,1.36,SIMULATED,40404
0.06500,Fp1,-2.36126,0.006690,non-ictal,200,0.68,1.36,SIMULATED,40404
0.07000,Fp1,-1.32424,0.006690,non-ictal,200,0.68,1.36,SIMULATED,40404
0.07500,Fp1,4.19408,0.009900,non-ictal,200,0.68,1.36,SIMULATED,40404
0.08000,Fp1,2.96626,0.009900,non-ictal,200,0.68,1.36,SIMULATED,40404
0.08500,Fp1,1.49688,0.008016,non-ictal,200,0.68,1.36,SIMULATED,40404
0.09000,Fp1,-2.00100,0.011251,non-ictal,200,0.68,1.36,SIMULATED,40404
0.09500,Fp1,0.86780,0.011251,non-ictal,200,0.68,1.36,SIMULATED,40404
0.10000,Fp1,-4.83821,0.004824,non-ictal,200,0.68,1.36,SIMULATED,40404
0.10500,Fp1,-5.04005,0.004824,non-ictal,200,0.68,1.36,SIMULATED,40404
0.11000,Fp1,-7.15300,0.003235,non-ictal,200,0.68,1.36,SIMULATED,40404
0.11500,Fp1,-0.38148,0.000000,non-ictal,200,0.68,1.36,SIMULATED,40404
0.12000,Fp1,0.42655,0.002052,non-ictal,200,0.68,1.36,SIMULATED,40404
0.12500,Fp1,-0.59617,0.007386,non-ictal,200,0.68,1.36,SIMULATED,40404
0.13000,Fp1,-0.80902,0.007386,non-ictal,200,0.68,1.36,SIMULATED,40404
0.13500,Fp1,-7.26028,0.008255,non-ictal,200,0.68,1.36,SIMULATED,40404
0.14000,Fp1,-5.40385,0.009234,non-ictal,200,0.68,1.36,SIMULATED,40404
0.14500,Fp1,-7.32929,0.010546,non-ictal,200,0.68,1.36,SIMULATED,40404
0.15000,Fp1,-5.15331,0.005212,non-ictal,200,0.68,1.36,SIMULATED,40404
0.15500,Fp1,-1.81145,0.005212,non-ictal,200,0.68,1.36,SIMULATED,40404
0.16000,Fp1,-3.24154,0.004714,non-ictal,200,0.68,1.36,SIMULATED,40404
0.16500,Fp1,0.23297,0.003734,non-ictal,200,0.68,1.36,SIMULATED,40404
0.17000,Fp1,0.72782,0.000370,non-ictal,200,0.68,1.36,SIMULATED,40404
0.17500,Fp1,0.85593,0.000370,non-ictal,200,0.68,1.36,SIMULATED,40404
0.18000,Fp1,1.57537,0.004646,non-ictal,200,0.68,1.36,SIMULATED,40404
0.18500,Fp1,-5.09114,0.004276,non-ictal,200,0.68,1.36,SIMULATED,40404
0.19000,Fp1,0.43541,0.007937,non-ictal,200,0.68,1.36,SIMULATED,40404
0.19500,Fp1,-1.90617,0.007937,non-ictal,200,0.68,1.36,SIMULATED,40404
0.20000,Fp1,5.73685,0.007937,non-ictal,200,0.68,1.36,SIMULATED,40404
0.20500,Fp1,0.08812,0.003963,non-ictal,200,0.68,1.36,SIMULATED,40404
0.21000,Fp1,4.36220,0.005024,non-ictal,200,0.68,1.36,SIMULATED,40404
0.21500,Fp1,3.89906,0.001363,non-ictal,200,0.68,1.36,SIMULATED,40404
0.22000,Fp1,6.72355,0.001363,non-ictal,200,0.68,1.36,SIMULATED,40404
0.22500,Fp1,10.23036,0.001363,non-ictal,200,0.68,1.36,SIMULATED,40404
0.23000,Fp1,10.31120,0.003265,non-ictal,200,0.68,1.36,SIMULATED,40404
0.23500,Fp1,12.40932,0.002204,non-ictal,200,0.68,1.36,SIMULATED,40404
0.24000,Fp1,8.21739,0.002204,non-ictal,200,0.68,1.36,SIMULATED,40404
0.24500,Fp1,8.70058,0.004850,non-ictal,200,0.68,1.36,SIMULATED,40404
0.25000,Fp1,13.10467,0.008850,non-ictal,200,0.68,1.36,SIMULATED,40404
0.25500,Fp1,11.34922,0.007289,non-ictal,200,0.68,1.36,SIMULATED,40404
0.26000,Fp1,6.04770,0.007289,non-ictal,200,0.68,1.36,SIMULATED,40404
0.26500,Fp1,-2.94691,0.007289,non-ictal,200,0.68,1.36,SIMULATED,40404
0.27000,Fp1,-3.91613,0.004643,non-ictal,200,0.68,1.36,SIMULATED,40404
0.27500,Fp1,-1.22017,0.003675,non-ictal,200,0.68,1.36,SIMULATED,40404
0.28000,Fp1,-0.28306,0.007729,non-ictal,200,0.68,1.36,SIMULATED,40404
0.28500,Fp1,3.60383,0.007729,non-ictal,200,0.68,1.36,SIMULATED,40404
0.29000,Fp1,1.82744,0.007729,non-ictal,200,0.68,1.36,SIMULATED,40404
0.29500,Fp1,6.10732,0.007729,non-ictal,200,0.68,1.36,SIMULATED,40404
0.30000,Fp1,4.04344,0.005375,non-ictal,200,0.68,1.36,SIMULATED,40404
0.30500,Fp1,10.54738,0.000678,non-ictal,200,0.68,1.36,SIMULATED,40404
0.31000,Fp1,2.31131,0.000678,non-ictal,200,0.68,1.36,SIMULATED,40404
